ST_FIPS,city_name,state,predicted_transparency_score,transparency_score,residual,ranking
644574,Lynwood,California,6.004086707409975,6,0.004086707409975077,1
566080,Springdale,Arkansas,6.005070456269584,6,0.005070456269583801,2
2624740,Ecorse,Michigan,4.007155222313094,4,0.007155222313094178,3
2606020,Bay City city,Michigan,6.007706903213335,6,0.0077069032133350035,4
4854132,Orange,Texas,3.990274091882209,4,0.009725908117791171,5
1802674,Auburn city,Indiana,4.0100080940059595,4,0.010008094005959478,6
1313153,Houston County,Georgia,6.0110909992903885,6,0.011090999290388481,7
3945094,Louisville,Ohio,3.981499052054499,4,0.018500947945501167,8
3734200,Jacksonville city,North Carolina,6.0187642403953365,6,0.01876424039533653,9
5551250,Merrill,Wisconsin,4.0188815087196295,4,0.01888150871962946,10
3603408,Babylon village,New York,3.976659007665224,4,0.023340992334775823,11
1738115,Jacksonville city,Illinois,4.023760903063288,4,0.023760903063288374,12
1842426,Lawrence city,Indiana,5.973767567556835,6,0.026232432443165088,13
2513205,Chelsea,Massachusetts,6.026988380861665,6,0.026988380861665107,14
1769485,Shields township,Illinois,4.027105649185958,4,0.027105649185958036,15
4857200,Pharr,Texas,6.0287984787633455,6,0.028798478763345514,16
5558800,Oak Creek city,Wisconsin,5.969852247095592,6,0.030147752904407632,17
3404695,Belleville township,New Jersey,3.965404920711301,4,0.03459507928869909,18
659962,Redlands,California,5.963753004166019,6,0.03624699583398083,19
4254656,Norristown,Pennsylvania,5.959857358681968,6,0.04014264131803191,20
3424420,"""Fort Lee",New Jersey,6.040209965534807,6,0.04020996553480671,21
1847448,Martinsville,Indiana,3.95670858079236,4,0.043291419207640125,22
680812,Turlock city,California,5.955961713197918,6,0.044038286802082105,23
3909680,Brunswick,Ohio,5.954427064976928,6,0.04557293502307225,24
4805984,Bay City city,Texas,3.9516717866311635,4,0.048328213368836526,25
5527300,Franklin,Wisconsin,6.048552155864288,6,0.04855215586428763,26
1982425,Waterloo,Iowa,5.950334669720956,6,0.049665330279044184,27
1804114,Bedford,Indiana,4.050263097341147,4,0.05026309734114687,28
656700,Perris,California,5.949547670633269,6,0.05045232936673116,29
1752597,New Lenox Township,Illinois,4.0508730216341045,4,0.050873021634104454,30
1741599,Lake Villa Township,Illinois,4.050991071497258,4,0.05099107149725768,31
2745430,New Brighton,Minnesota,4.947146932646394,5,0.052853067353606065,32
1840392,Kokomo,Indiana,5.942307279026549,6,0.05769272097345102,33
1313223,Paulding County,Georgia,6.058783144004218,6,0.05878314400421836,34
1811062,Cedar Lake,Indiana,3.940889899129852,4,0.059110100870147786,35
2273640,Sulphur,Louisiana,4.0616942590897995,4,0.06169425908979953,36
1880504,Washington city,Indiana,3.9378796276194494,4,0.06212037238055057,37
3468550,South Amboy city,New Jersey,3.9378206026878733,4,0.06217939731212674,38
1829718,Greensburg,Indiana,3.936876203782649,4,0.0631237962173512,39
5452060,Martinsburg,West Virginia,3.936443354284421,4,0.06355664571557895,40
4225112,Falls township,Pennsylvania,3.9334134077968264,4,0.06658659220317364,41
3415820,"""Cresskill",New Jersey,3.9332560079792884,4,0.06674399202071157,42
3635672,Hornell city,New York,3.932469008891602,4,0.06753099110839811,43
3570500,Santa Fe,New Mexico,5.93227304065854,6,0.06772695934146,44
4213208,Chester,Pennsylvania,5.932154990795388,6,0.06784500920461234,45
947290,Middletown,Connecticut,6.0709816298633665,6,0.07098162986336654,46
1938595,Iowa City,Iowa,5.92892829453587,6,0.07107170546412966,47
2303355,Bath,Maine,3.9286127133619355,4,0.07138728663806448,48
2507740,Braintree Town city,Massachusetts,6.0716112291335165,6,0.07161122913351647,49
4548535,Mount Pleasant,South Carolina,5.928180645402568,6,0.07181935459743194,50
2829700,Gulfport,Mississippi,5.926213147683351,6,0.07378685231664939,51
2731076,Inver Grove Heights,Minnesota,5.924914599188668,6,0.07508540081133219,52
169120,Selma,Alabama,4.075309343306785,4,0.07530934330678463,53
3643082,Lockport city,New York,4.924245259194703,5,0.07575474080529698,54
3965732,Reading,Ohio,4.075860242668165,4,0.07586024266816516,55
4215384,Columbia borough,Pennsylvania,4.077040741299696,4,0.07704074129969563,56
3627419,Fredonia village,New York,3.9214116717096,4,0.07858832829040008,57
4000200,Ada,Oklahoma,3.9200344233061477,4,0.07996557669385229,58
2629200,Flushing,Michigan,3.9187752247658487,4,0.08122477523415128,59
3725580,Gastonia,North Carolina,6.081566767592756,6,0.08156676759275605,60
3413810,Closter borough,New Jersey,3.9175160262255497,4,0.08248397377445027,61
4834832,Horizon City,Texas,3.9170831767273215,4,0.08291682327267846,62
4806128,Baytown city (pt.),Texas,6.083967114810202,6,0.08396711481020169,63
5548500,Manitowoc,Wisconsin,5.913581812325975,6,0.08641818767402487,64
3663418,Rome city,New York,5.91271611332952,6,0.08728388667048037,65
1838358,Jeffersonville,Indiana,5.91190943926464,6,0.0880905607353597,66
4848804,Missouri City,Texas,5.90909591752616,6,0.0909040824738403,67
2241155,Lake Charles,Louisiana,6.091482956097611,6,0.09148295609761092,68
2755852,Roseville,Minnesota,5.907600619259554,6,0.09239938074044574,69
4943660,Layton,Utah,5.9072464696700955,6,0.09275353032990452,70
